Gene Symbol,log2FoldChange,Pvalue,Padjusted,innate_immune,species,condition,adaptive,gene_category
IL6R,2.904187595,5.74E-07,1.24E-05,FALSE,Bos indicus,milk production,TRUE,immune
IL12B,6.254788742,5.42E-14,1.47E-11,TRUE,Bos indicus,milk production,TRUE,immune
ELAPOR2,-3.560430417,0.0001381711271,0.001290972524,FALSE,Bos indicus,milk production,TRUE,immune
UBE2W,2.278032955,0.0004648586754,0.003549874938,TRUE,Bos indicus,milk production,FALSE,immune
ATG9B,-4.253687878,0.09855731243,0.2484833278,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MIR21,2.734200158,0.109493833,0.6782845217,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LOC100138951,4.968554559,4.74E-16,3.18E-13,FALSE,Bos indicus,milk production,TRUE,immune
FCN1,3.081997284,3.32E-10,2.09E-08,TRUE,Bos indicus,milk production,FALSE,immune
CXCL9,2.007122739,0.001591478137,0.02033782282,TRUE,Bos taurus,MAP Infection,TRUE,immune
THRB,-6.156380344,0.0413249531,0.1203530207,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TNIP1,2.704663058,1.75E-08,6.04E-07,TRUE,Bos indicus,milk production,FALSE,immune
LOC783509,-4.73500496,0.008331513755,0.03509266684,FALSE,Bos indicus,milk production,TRUE,immune
TRIM65,-2.405697765,0.4064972702,0.750898728,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TLR10,2.896733,0.000618335,0.01942657,TRUE,Bos taurus,MAP Infection,FALSE,immune
CD300LF,4.416434706,6.91E-13,1.22E-10,TRUE,Bos indicus,milk production,FALSE,immune
CCL22,2.521909069,3.45E-06,5.77E-05,FALSE,Bos indicus,milk production,TRUE,immune
CT83,-22.30006774,1.42E-13,9.24E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CEBPE,2.558940858,1.69E-06,3.07E-05,TRUE,Bos indicus,milk production,FALSE,immune
IL12A,2.133290702,0.03139195062,0.09331603636,TRUE,Bos indicus,milk production,TRUE,immune
IFNGR2,2.120664491,2.22E-06,3.88E-05,TRUE,Bos indicus,milk production,FALSE,immune
EGR1,-2.640762235,0.3620931625,0.6975030314,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
VSIG8,-2.009613795,0.03496399323,0.4573503023,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
TRIM56,2.057999289,1.08E-05,0.0001520678159,TRUE,Bos indicus,milk production,FALSE,immune
IL1A,4.906576,2.27E-09,5.95E-07,TRUE,Bos taurus,MAP Infection,TRUE,immune
PTGS2,5.325218795,9.92E-12,1.09E-09,TRUE,Bos indicus,milk production,FALSE,immune
IL10RB,2.525755367,4.33E-06,7.02E-05,FALSE,Bos indicus,milk production,TRUE,immune
LOC508441,-3.662301303,0.2116244589,0.4690102963,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
C5,-26.5987637,1.12E-18,5.65E-17,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SLAMF1,2.055027,0.01299558,0.1518465,TRUE,Bos taurus,MAP Infection,FALSE,immune
CD14,-5.818278212,0.03647120565,0.1085412295,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL5,-24.18268458,1.05E-15,9.74E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
RAD23A,-2.398321184,0.4078379664,0.7523907311,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
FCN1,2.95575308,0.0006669362002,0.05651216542,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IFIT2,3.956797769,1.32E-08,1.03E-05,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IL2RA,4.221080316,1.40E-08,4.97E-07,FALSE,Bos indicus,milk production,TRUE,immune
F11,3.498748771,0.0001431995471,0.001330399942,TRUE,Bos indicus,milk production,FALSE,immune
USP7,-2.561415673,0.3767201209,0.7158841984,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NOS2,6.177103413,4.97E-20,3.56E-16,TRUE,Bos indicus,milk production,FALSE,immune
LAIR1,2.714353,2.15E-08,4.39E-06,TRUE,Bos taurus,MAP Infection,TRUE,immune
LOC618565,-4.26465235,7.21E-07,1.51E-05,FALSE,Bos indicus,milk production,TRUE,immune
GZMM,-26.50624105,1.47E-18,6.83E-17,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CLEC4E,3.381716279,4.79E-08,1.46E-06,TRUE,Bos indicus,milk production,FALSE,immune
FLT4,-25.7619891,1.28E-17,3.15E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CFTR,3.30363808,0.000439943243,0.003388509086,TRUE,Bos indicus,milk production,FALSE,immune
IL18BP,2.443950902,0.0007832848717,0.06249925724,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
PRTN3,3.754024261,4.02E-07,9.24E-06,TRUE,Bos indicus,milk production,FALSE,immune
LOC618737,2.967962644,3.17E-06,0.000938656289,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
CASP1,2.367455545,0.0001228399498,0.001169564768,TRUE,Bos indicus,milk production,FALSE,immune
IFITM1,4.124280951,2.46E-07,0.0001142862309,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
ALCAM,2.212046,1.38E-15,3.21E-12,FALSE,Bos taurus,MAP Infection,TRUE,immune
ABCA1,2.632624587,0.0001472803917,0.001366540732,TRUE,Bos indicus,milk production,FALSE,immune
THY1,-22.61769083,6.37E-14,4.29E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
BLA-DQB,2.055499338,1.51E-07,3.98E-06,FALSE,Bos indicus,milk production,TRUE,immune
IRAK2,2.376636715,2.30E-05,0.0002858818646,TRUE,Bos indicus,milk production,TRUE,immune
NFKBIE,3.123540494,1.27E-10,9.32E-09,TRUE,Bos indicus,milk production,FALSE,immune
CCL20,5.951456,9.20E-07,0.000132572,FALSE,Bos taurus,MAP Infection,TRUE,immune
BOLA-DQA2,2.286112908,0.0191079673,0.06515568222,FALSE,Bos indicus,milk production,TRUE,immune
VEGFC,-7.578130784,0.009867006563,0.03777801892,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC132342658,-2.352378581,0.006798554195,0.02999879488,FALSE,Bos indicus,milk production,TRUE,immune
LOC788634,-2.990311473,0.3021485398,0.6146446009,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MYD88,-2.281479871,0.4310752983,0.778337822,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
NOX1,-8.446475588,0.002803906103,0.01278485595,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
HDAC11,2.265573166,3.19E-06,5.37E-05,TRUE,Bos indicus,milk production,FALSE,immune
SIGLEC1,3.736679063,4.78E-22,2.69E-20,TRUE,Bos taurus,BRSV Infection,FALSE,immune
HOXA9,2.353102134,5.04E-05,0.0005528645295,TRUE,Bos indicus,milk production,FALSE,immune
MX2,2.432090457,7.24E-05,0.0007448902219,TRUE,Bos indicus,milk production,FALSE,immune
CREB1,2.775457891,4.27E-06,6.97E-05,TRUE,Bos indicus,milk production,FALSE,immune
WNT2B,2.455711007,0.001917176562,0.01105992138,TRUE,Bos indicus,milk production,FALSE,immune
TRIL,-3.005222313,0.04361865811,0.1180951675,FALSE,Bos indicus,milk production,TRUE,immune
NFKBIE,2.667323,5.43E-11,3.05E-08,TRUE,Bos taurus,MAP Infection,FALSE,immune
MKNK1,3.417537083,5.38E-10,3.17E-08,TRUE,Bos indicus,milk production,FALSE,immune
APOA1,-6.954922506,0.008845912798,0.03454425801,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ATG13,-2.145582626,0.4590884818,0.8082011772,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
RSAD2,3.324972954,4.22E-12,1.81E-08,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IL36B,-2.731386704,0.07814443258,0.6125441632,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
CD14,2.562491502,2.26E-14,7.16E-12,TRUE,Bos indicus,milk production,FALSE,immune
MIR29A,4.039485905,2.83E-05,0.0003417102012,TRUE,Bos indicus,milk production,FALSE,immune
ULBP13,2.994732831,1.65E-06,3.02E-05,FALSE,Bos indicus,milk production,TRUE,immune
LOC107131323,2.122287339,0.0004192956389,0.003253970381,FALSE,Bos indicus,milk production,TRUE,immune
CXCL11,2.392664562,0.004241257826,0.03788298931,TRUE,Bos taurus,MAP Infection,TRUE,immune
TREM1,4.116151087,2.36E-13,4.79E-11,TRUE,Bos indicus,milk production,TRUE,immune
LRRK2,2.681044254,8.91E-06,0.0001287339279,TRUE,Bos indicus,milk production,FALSE,immune
TRIM45,-2.70925886,0.09970084863,0.2510115483,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TREM2,-3.864524223,9.20E-09,4.54E-06,TRUE,Bos taurus,MAP Infection,TRUE,immune
PGLYRP4,2.852944565,0.1294104282,0.312430411,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL2,-3.903050368,0.0008209836671,0.005598894961,TRUE,Bos indicus,milk production,TRUE,immune
TRAF5,-3.427471075,0.237212754,0.513592972,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CXCL2,5.734026278,1.03E-12,1.67E-10,TRUE,Bos indicus,milk production,TRUE,immune
HDAC11,-9.385573743,0.001269147959,0.006361694009,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL33,-25.95127451,7.43E-18,2.08E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CEBPE,-7.50180594,0.005626609963,0.02333516535,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TRAF1,2.676688617,6.28E-07,1.33E-05,TRUE,Bos indicus,milk production,FALSE,immune
IFNGR1,2.957537059,1.45E-07,3.86E-06,TRUE,Bos indicus,milk production,FALSE,immune
LOC617785,-4.302459253,0.1379505851,0.3296399305,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC132343197,-9.115455535,0.002249585844,0.01053262917,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
P2RY14,-2.735071271,0.0005375916503,0.04866902093,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IL19,-2.828276018,0.05110967377,0.5307457102,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
RBPJL,-10.82711431,0.0003290119964,0.00184508824,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC512672,2.400630691,1.23E-05,0.0001702991362,FALSE,Bos indicus,milk production,TRUE,immune
CD300A,4.566664712,4.56E-11,3.83E-09,TRUE,Bos indicus,milk production,FALSE,immune
IFI16,2.807159471,0.1090850606,0.2710506258,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
GATA6,-25.68351416,1.61E-17,3.77E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC100335205,-4.706275793,0.03027897342,0.09356517585,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCR1,4.031127331,2.63E-10,1.72E-08,FALSE,Bos indicus,milk production,TRUE,immune
LY6G6C,-24.04076409,1.05E-15,9.74E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL4I1,-2.961997946,0.3066942833,0.6206585861,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL15RA,-3.483073825,0.2294624944,0.5001864776,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL6,5.459478453,1.50E-07,3.95E-06,TRUE,Bos indicus,milk production,TRUE,immune
MAP3K12,-2.422267826,0.3999519185,0.7446229327,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TRAFD1,-2.11496864,0.4654942238,0.814047987,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CD8A,-5.249962833,0.05387889346,0.1494824961,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
PLG,-25.32681593,4.44E-17,8.40E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
F11,2.53428,0.000206255,0.008051518,TRUE,Bos taurus,MAP Infection,FALSE,immune
MR1,3.951251061,2.05E-09,9.95E-08,FALSE,Bos indicus,milk production,TRUE,immune
ULBP3,2.010055,0.009129176,0.2604902,FALSE,Bos taurus,MAP Infection,TRUE,immune
CD40,3.843002449,5.75E-12,7.07E-10,FALSE,Bos indicus,milk production,TRUE,immune
MIR21,5.050039292,4.48E-08,1.37E-06,TRUE,Bos indicus,milk production,FALSE,immune
CXCL12,-2.792976594,0.003949357793,0.01944195381,TRUE,Bos indicus,milk production,TRUE,immune
KIR2DL5A,-3.54861676,3.45E-07,8.15E-06,FALSE,Bos indicus,milk production,TRUE,immune
LOC112446748,-2.572678347,0.004566980988,0.02184283429,FALSE,Bos indicus,milk production,TRUE,immune
MRGPRX2,-22.55051025,7.56E-14,5.05E-13,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL18,3.093394074,0.0001812936903,0.001617865494,TRUE,Bos indicus,milk production,TRUE,immune
CXCL9,2.154711224,0.007549560152,0.244557409,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
SPAG17,-5.119470811,0.004203968903,0.01812347593,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
WFIKKN1,-7.121028747,0.01508503199,0.05344696764,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TMIGD1,2.007987708,0.03981292898,0.1104920613,FALSE,Bos indicus,milk production,TRUE,immune
TPST1,-5.189482933,0.07343813048,0.1926895527,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC100141258,-5.280360366,0.06870892429,0.1818865636,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL18BP,-2.812717406,0.3326389185,0.6581428305,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCL19,2.084839905,0.01887272018,0.0645995355,FALSE,Bos indicus,milk production,TRUE,immune
CORO2A,2.42970747,0.0001648821376,0.00149686457,TRUE,Bos indicus,milk production,FALSE,immune
SSNA1,-3.24831616,0.2623881684,0.5538383384,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
PGBD5,-6.714153261,0.02271423126,0.07427942375,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TCIRG1,3.019683344,4.53E-13,8.54E-11,FALSE,Bos indicus,milk production,TRUE,immune
NFKBIZ,2.541106168,0.0004962688856,0.003739243367,TRUE,Bos indicus,milk production,FALSE,immune
TLR10,-3.449530208,0.2131709597,0.4719259674,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TIGD4,-9.321603524,0.001502212004,0.007389059966,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LY6L,-7.392700225,0.01425040818,0.05095561328,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
ICA1L,-3.098366008,0.04125763596,0.1202005913,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LST1,-3.885395989,0.1811280009,0.412238289,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
XCL1,-3.691445662,1.95E-05,0.0002496459037,FALSE,Bos indicus,milk production,TRUE,immune
CCL8,2.48648,3.38E-05,0.003093472,FALSE,Bos taurus,MAP Infection,TRUE,immune
F2RL3,-25.24227145,5.63E-17,9.94E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NAIP,5.803607137,8.27E-14,1.91E-11,TRUE,Bos indicus,milk production,FALSE,immune
LOC787904,-24.00417939,1.70E-15,1.50E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
C9,-7.974752621,0.006806878616,0.0275051364,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TNFRSF9,-23.28819227,1.13E-14,8.34E-14,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NFKB1,2.662185871,1.09E-06,2.15E-05,TRUE,Bos indicus,milk production,FALSE,immune
IL22RA2,-5.42541115,0.06143700875,0.1660320306,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC618565,2.205760364,0.0006603715017,0.01143993695,FALSE,Bos taurus,MAP Infection,TRUE,immune
CD209,-24.07715826,1.39E-15,1.26E-14,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC615101,-6.179266545,0.04064414215,0.118693319,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MYD88,2.776313044,1.91E-07,4.90E-06,TRUE,Bos indicus,milk production,TRUE,immune
MID1,-2.562567153,0.001310080102,0.008134155247,TRUE,Bos indicus,milk production,FALSE,immune
CD247,-2.383971288,0.0001293354367,0.001225068988,FALSE,Bos indicus,milk production,TRUE,immune
LEP,-24.73139517,2.34E-16,2.86E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CFB,2.510816592,0.000146346773,0.02046594181,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
TRPM2,-2.270301918,4.55E-05,0.0005104369957,TRUE,Bos indicus,milk production,FALSE,immune
CD3D,-2.118560445,0.001518260179,0.009175441427,FALSE,Bos indicus,milk production,TRUE,immune
CFB,3.532493,3.89E-08,7.41E-06,TRUE,Bos taurus,MAP Infection,FALSE,immune
KIR2DS1,-3.150234382,6.62E-06,9.98E-05,FALSE,Bos indicus,milk production,TRUE,immune
LGALS9,2.249463175,0.0007479678283,0.0618547818,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MMP12,3.746786819,4.33E-06,7.02E-05,TRUE,Bos indicus,milk production,FALSE,immune
MIR212,4.579386657,5.51E-07,1.20E-05,TRUE,Bos indicus,milk production,FALSE,immune
C5AR1,4.094079928,2.04E-10,1.38E-08,TRUE,Bos indicus,milk production,FALSE,immune
LOC100298356,2.082329465,2.76E-06,4.73E-05,FALSE,Bos indicus,milk production,TRUE,immune
IL25,-6.726772732,0.02578677374,0.08203720883,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TNFRSF18,2.063982378,2.33E-05,0.0002887404203,TRUE,Bos indicus,milk production,FALSE,immune
HP,2.376392677,0.003325029773,0.1579940252,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IFITM1,2.273280616,0.0002091195104,0.00182822179,TRUE,Bos indicus,milk production,FALSE,immune
SIVA1,-2.271472548,0.4332770487,0.7799282801,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NFKBIE,-2.401764291,0.4073244086,0.7517889557,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MX1,2.027376354,2.90E-12,1.54E-11,TRUE,Bos taurus,BRSV Infection,FALSE,immune
XIAP,2.430975773,0.001026693069,0.00668969295,TRUE,Bos indicus,milk production,FALSE,immune
IL17F,4.05026836,2.61E-05,0.0003177772485,TRUE,Bos indicus,milk production,TRUE,immune
IRF9,2.247642418,1.46E-07,3.86E-06,TRUE,Bos indicus,milk production,FALSE,immune
SPAG8,-3.526530176,0.2013485556,0.4500270599,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
TRIM9,-2.003813921,0.01971206605,0.06666550006,TRUE,Bos indicus,milk production,FALSE,immune
NLRP1,2.618298826,5.90E-07,1.27E-05,TRUE,Bos indicus,milk production,FALSE,immune
SUGT1,-5.067814859,0.08041842598,0.2078447241,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TRPM2,3.547622976,0.01661369384,0.05782905794,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IFITM2,3.512394095,7.59E-07,0.0002967336627,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
IFNG,-12.00581338,6.82E-05,0.0004160935658,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL22,3.284885055,0.0665879974,0.1600211895,TRUE,Bos indicus,milk production,TRUE,immune
BOLA-DOA,-6.717428361,0.02103009744,0.06983924352,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
PTCRA,-5.149444927,0.08800046489,0.2249309601,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LGALS4,-6.449913305,0.02623608064,0.08328502656,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
NLRP5,-6.319432631,0.03055440016,0.09430733126,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CRLF1,-5.205726213,0.05897633706,0.160680735,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCL4,4.708053,1.06E-14,4.16E-11,FALSE,Bos taurus,MAP Infection,TRUE,immune
IL1F10,-10.21059699,0.0004417823267,0.002429121735,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL36G,2.275285323,0.008064350039,0.03423445634,FALSE,Bos indicus,milk production,TRUE,immune
LOC525400,-26.26453761,2.99E-18,1.03E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
DUSP1,4.373880908,1.31E-11,1.37E-09,TRUE,Bos indicus,milk production,FALSE,immune
SRXN1,2.280621861,0.0001697559272,0.001532724841,TRUE,Bos indicus,milk production,FALSE,immune
IFIH1,2.109983748,2.00E-05,0.004465432414,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
LOC112442414,5.170340151,3.69E-12,4.86E-10,FALSE,Bos indicus,milk production,TRUE,immune
CCL24,3.324888911,4.41E-08,1.36E-06,FALSE,Bos indicus,milk production,TRUE,immune
IL36RN,3.853344947,0.02167779808,0.07128296909,FALSE,Bos indicus,milk production,TRUE,immune
DOK3,-2.252161027,0.4336498865,0.7799283593,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL4,-2.822585607,0.0008620913289,0.005829289039,TRUE,Bos indicus,milk production,TRUE,immune
SLAMF1,3.082024,0.000324671,0.01946874,TRUE,Bos taurus,MAP Infection,FALSE,immune
GZMB,2.178965409,8.40E-10,2.57E-09,FALSE,Bos taurus,BRSV Infection,TRUE,immune
CD27,-24.73106337,2.35E-16,2.86E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
GZMM,-2.810696208,0.0004752759249,0.003605084486,TRUE,Bos indicus,milk production,FALSE,immune
CCL4,2.046729,0.000374185,0.0125575,FALSE,Bos taurus,MAP Infection,TRUE,immune
MEFV,5.495684824,1.48E-13,3.16E-11,TRUE,Bos indicus,milk production,TRUE,immune
CD53,2.014418907,0.001078237959,0.00695594581,TRUE,Bos indicus,milk production,FALSE,immune
IL36A,3.971574897,1.74E-08,6.03E-07,FALSE,Bos indicus,milk production,TRUE,immune
IL4R,2.131641073,3.66E-05,0.0004246654259,TRUE,Bos indicus,milk production,TRUE,immune
NRIP1,2.108925369,0.000124120678,0.003812927637,TRUE,Bos taurus,MAP Infection,FALSE,immune
TIGD3,-7.684988111,0.008071961182,0.03196520527,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC101904903,-4.130514698,2.57E-05,0.0003142129703,FALSE,Bos indicus,milk production,TRUE,immune
EPG5,-2.183131801,0.4512106496,0.7999058051,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
SIAH1,-3.823074063,0.1870929669,0.4241302427,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC614781,-3.939901548,5.87E-08,1.73E-06,FALSE,Bos indicus,milk production,TRUE,immune
MIR23A,4.008515441,1.21E-09,6.34E-08,TRUE,Bos indicus,milk production,FALSE,immune
LOC526966,5.551804057,4.42E-06,7.14E-05,FALSE,Bos indicus,milk production,TRUE,immune
LIF,-6.054658592,0.02704627718,0.08546815295,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC100335205,-4.030761612,8.36E-08,2.38E-06,FALSE,Bos indicus,milk production,TRUE,immune
XCR1,4.387902752,3.76E-09,1.61E-07,FALSE,Bos indicus,milk production,TRUE,immune
LOC786796,-3.879841882,2.70E-05,0.0003270502227,FALSE,Bos indicus,milk production,TRUE,immune
CXCL17,3.881100506,0.01590146774,0.3393562614,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
TIE1,-3.456366479,0.0002130579839,0.001854178253,FALSE,Bos indicus,milk production,TRUE,immune
IL9R,-2.706093408,0.3422194794,0.671962643,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MIR146A,7.012905376,7.51E-10,4.25E-08,TRUE,Bos indicus,milk production,FALSE,immune
CXCL10,2.715409022,9.18E-32,1.29E-29,TRUE,Bos taurus,BRSV Infection,TRUE,immune
PLTP,3.007045,1.53E-15,3.21E-12,TRUE,Bos taurus,MAP Infection,FALSE,immune
IGSF10,-2.107133242,0.001109319991,0.01618039112,FALSE,Bos taurus,MAP Infection,TRUE,immune
NCR1,5.323898796,2.25E-11,2.11E-09,FALSE,Bos indicus,milk production,TRUE,immune
LOC782159,-2.859848044,0.1080445481,0.2241306394,FALSE,Bos indicus,milk production,TRUE,immune
IL1B,2.654617027,0.3596848893,0.6946146641,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
ISLR2,-24.8488569,1.69E-16,2.25E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CCL26,-2.332186542,0.006517278538,0.02898778172,FALSE,Bos indicus,milk production,TRUE,immune
LAIR1,3.734299413,1.91E-07,4.90E-06,TRUE,Bos indicus,milk production,TRUE,immune
CXCL11,2.146133269,0.005800251178,0.2134754496,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
LOC107131414,-2.014790739,0.2884458567,0.4462821668,FALSE,Bos indicus,milk production,TRUE,immune
LOC618806,-7.149221538,6.46E-06,0.001710481246,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
MX2,2.063271362,1.47E-09,4.26E-09,TRUE,Bos taurus,BRSV Infection,FALSE,immune
TNFRSF13B,-6.046505347,0.04518612973,0.1293911476,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC112445044,-2.170720479,0.002251888134,0.01254623389,FALSE,Bos indicus,milk production,TRUE,immune
TRIM47,-9.461788446,0.0008712798188,0.004515350692,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC100847119,-3.818991049,0.0009325832335,0.006202213522,FALSE,Bos indicus,milk production,TRUE,immune
RANBP9,-2.4525605,0.3973494704,0.7412202465,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
HP,3.059627,0.00108359,0.02863635,TRUE,Bos taurus,MAP Infection,FALSE,immune
THBS1,2.932550968,0.3117700572,0.6280795053,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
